301X001	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	
301X002	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	
301X003	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	
301X004	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	
301X005	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	
301X006	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	
301X007	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	
301X008	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	
301X009	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	
301X010	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	
301X011	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	
301X012	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	
301X013	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	
301X014	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	
301X015	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	
301X016	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	
301X017	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	
301X018	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	
302X019	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	
302X020	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	
302X021	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	
302X022	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	
302X023	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	
302X024	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	
302X025	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	
302X026	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	
302X027	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	
302X028	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	
302X029	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	
302X030	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	2	0	0	2	
302X031	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	3	3	3	3	0	0	3	
